Xd;Yd;Xu;Yu
1838.4788;133.9416;73.0000;27.0000
1866.8388;134.4251;74.0000;27.0000
1895.3030;135.0623;75.0000;27.0000
1923.4506;135.8351;76.0000;27.0000
1951.5110;136.5811;77.0000;27.0000
1979.4783;137.4765;78.0000;27.0000
2007.4360;138.4843;79.0000;27.0000
2034.8252;139.5304;80.0000;27.0000
2062.4654;140.6357;81.0000;27.0000
2089.8033;141.7617;82.0000;27.0000
2116.8525;142.9216;83.0000;27.0000
2144.0638;144.0533;84.0000;27.0000
2170.8118;145.1224;85.0000;27.0000
2197.5954;146.2720;86.0000;27.0000
2224.3435;147.5054;87.0000;27.0000
2250.5578;148.8192;88.0000;27.0000
368.8907;187.5414;23.0000;28.0000
397.4110;186.0321;24.0000;28.0000
425.9956;184.5074;25.0000;28.0000
454.8185;182.9834;26.0000;28.0000
483.5413;181.5084;27.0000;28.0000
658.2090;173.3791;33.0000;28.0000
687.5649;171.9423;34.0000;28.0000
717.2842;170.7554;35.0000;28.0000
746.7409;169.4751;36.0000;28.0000
776.0638;168.4779;37.0000;28.0000
954.6084;162.8092;43.0000;28.0000
984.4835;162.0539;44.0000;28.0000
1014.4268;161.5650;45.0000;28.0000
1044.3283;161.0820;46.0000;28.0000
1074.3390;160.3039;47.0000;28.0000
1253.7796;157.6272;53.0000;28.0000
1283.5031;157.4908;54.0000;28.0000
1313.3117;157.3986;55.0000;28.0000
1343.2806;157.3709;56.0000;28.0000
1372.7855;157.3441;57.0000;28.0000
1550.3281;157.5802;63.0000;28.0000
1579.5434;157.5905;64.0000;28.0000
1608.7419;157.7988;65.0000;28.0000
1637.9036;158.2924;66.0000;28.0000
1667.0485;158.8196;67.0000;28.0000
1840.0198;161.5646;73.0000;28.0000
1868.3498;162.4124;74.0000;28.0000
1896.6758;163.2729;75.0000;28.0000
1925.0967;164.2251;76.0000;28.0000
1952.9524;164.6035;77.0000;28.0000
2118.6632;170.4667;83.0000;28.0000
2145.9406;171.3295;84.0000;28.0000
2172.6685;172.4751;85.0000;28.0000
2199.5220;173.6226;86.0000;28.0000
2226.1240;174.6815;87.0000;28.0000
199.6112;226.5994;17.0000;29.0000
368.2630;215.9525;23.0000;29.0000
396.8430;214.3549;24.0000;29.0000
425.5366;212.8343;25.0000;29.0000
454.2052;211.3069;26.0000;29.0000
483.2911;209.9815;27.0000;29.0000
657.8955;202.1791;33.0000;29.0000
687.4849;200.8098;34.0000;29.0000
717.1910;199.4694;35.0000;29.0000
